alive;SIGS2396502FL3;;;10.1.4.1
alive;SIGS2396502FL3;;;10.1.4.2
alive;10.1.4.3;;;10.1.4.3
alive;GIN1140;;;10.1.4.36
alive;GIN1140;;;10.1.4.36
alive;VIPS0104;;;10.1.4.100
alive;VIPS0104;;;10.1.4.100
alive;10.1.4.101;;;10.1.4.101
alive;10.1.4.102;;;10.1.4.102
alive;10.1.4.126;;;10.1.4.126
alive;10.1.4.127;;;10.1.4.127
alive;POS0010452;;;10.1.4.132
alive;POS0010452;;;10.1.4.132
alive;POS0010453;;;10.1.4.133
alive;POS0010453;;;10.1.4.133
alive;POS0010454;;;10.1.4.134
alive;POS0010454;;;10.1.4.134
alive;POS0010455;;;10.1.4.135
alive;POS0010455;;;10.1.4.135
alive;POS0010456;;;10.1.4.136
alive;POS0010456;;;10.1.4.136
alive;POS0010458;;;10.1.4.138
alive;POS0010458;;;10.1.4.138
alive;POS0010459;;;10.1.4.139
alive;POS0010459;;;10.1.4.139
alive;KDS0010402;;;10.1.4.145
alive;KDS0010403;;;10.1.4.147
alive;10.1.4.154;;;10.1.4.154
alive;ES332S-B63F86;;;10.1.4.174
alive;ES332S-B63F86;;;10.1.4.174
alive;PRT01140;;;10.1.4.190
alive;KDS0010401;;;10.1.4.191
alive;KDS0010401;;;10.1.4.191
alive;KDS0010404;;;10.1.4.194
alive;10.1.4.201;;;10.1.4.201
alive;10.1.4.203;;;10.1.4.203
alive;10.1.4.211;;;10.1.4.211
alive;10.1.4.212;;;10.1.4.212
alive;10.1.4.214;;;10.1.4.214
alive;10.1.4.216;;;10.1.4.216
